,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
,date,open,high,low,close,adjusted_close,volume,macd,macd_diff,macd_signal,bb_mavg,bb_hband,bb_lband,bb_hband_ind,bb_lband_ind,vwap,stoch_rsi,stochrsi_d,stochrsi_k
1127,1997-07-16,93.125,94.0938,92.8906,93.75,59.5573,2621300,1.6379833719667545,0.09313997563163556,1.544843396335119,90.450795,93.69829878997946,87.20329121002054,1.0,0.0,91.01138218672463,1.0,0.6658389895168031,0.7958078145928221
1128,1997-07-17,93.625,93.8125,92.7813,93.2813,59.2595,1794800,1.657137573376687,0.08983534163325446,1.5673022317434326,90.649235,94.07443218281024,87.22403781718977,0.0,0.0,91.29450858652004,0.7730973825076678,0.7644518271433484,0.842730459257992
1129,1997-07-18,93.0156,93.2188,91.0625,91.2969,57.9989,3961900,1.4949599525624961,-0.05787382334474911,1.5528337759072453,90.70236,94.13312712320018,87.27159287679982,0.0,0.0,91.5073219419848,0.0,0.7431902448955677,0.5910324608358889
1130,1997-07-21,91.2813,91.5938,90.6875,91.3125,58.0088,3810300,1.3521055778213196,-0.1605825584687406,1.5126881362900602,90.78908,94.18933641304173,87.38882358695827,0.0,0.0,91.6582526284298,0.004415300196235107,0.5643112714428385,0.25917089423463396
1131,1997-07-22,91.6875,93.7969,91.625,93.7344,59.5474,4243400,1.4179740240745815,-0.07577128977238301,1.4937453138469645,91.105485,94.3624217591545,87.8485482408455,0.0,0.0,91.90935987765455,0.5988678368180596,0.35043257802509603,0.20109437900476457
1132,1997-07-23,93.9375,94.4844,93.5313,93.6563,59.4978,3204300,1.447190909041396,-0.03724352384445484,1.4844344328858508,91.30705,94.6697999939829,87.9443000060171,0.0,0.0,92.13324801693625,0.5692994672825887,0.28370871377945334,0.39086086809896087
1133,1997-07-24,93.9375,94.2656,92.6875,94.0938,59.7757,4152700,1.4884897116901215,0.0032442230434164276,1.485245488646705,91.56174,94.9584028784194,88.1650771215806,0.0,0.0,92.29229158660402,0.6663429013627856,0.4011528829749569,0.6115034018211444
1134,1997-07-25,94.5625,94.8125,93.625,94.0313,59.736,2364800,1.4988977227489357,0.01092178728178439,1.4879759354671513,91.83518000000001,95.09997680507574,88.57038319492428,0.0,0.0,92.40922619484593,0.63971957679829,0.5424949728004423,0.6251206484812211
1135,1997-07-28,94.25,94.5625,93.5,93.9688,59.6963,2794700,1.4849849368520012,-0.002392798892120407,1.4873777357441216,92.088305,95.18627342558685,88.99033657441316,0.0,0.0,92.55382756750207,0.6113987248463181,0.6252592615460545,0.6391537343357975
1136,1997-07-29,93.625,94.4688,93.4219,94.2813,59.8948,2737100,1.4820904756865616,-0.004229808046048111,1.4863202837326097,92.38674499999999,95.09813714536249,89.6753528546375,0.0,0.0,92.82994124493727,0.6927044506090192,0.6374051000782983,0.6479409174178755
1137,1997-07-30,94.5,95.625,94.4063,95.4063,60.6095,4839800,1.5526764052499686,0.053084897213887094,1.4995915080360815,92.68987,95.32724519675033,90.05249480324967,1.0,0.0,93.15137613843473,0.9629465843031014,0.6809259683354955,0.7556832532528125
1138,1997-07-31,95.4063,96.0313,95.0313,95.3125,60.5499,2138700,1.5828018326258615,0.06656825967182378,1.5162335729540377,92.91487,95.63956850229968,90.1901714977003,0.0,0.0,93.33051380677607,0.9146345733749973,0.7534620133665758,0.856761869429039
1139,1997-08-01,95.5,95.7188,93.8125,94.9375,60.3117,7077700,1.5584522178049696,0.03377491588074544,1.5246773019242241,93.05861999999999,95.88956068790469,90.22767931209529,0.0,0.0,93.64316666461431,0.7172947805513481,0.825801256252778,0.8649586460764819
1140,1997-08-04,94.7813,95.5469,94.4063,95.1875,60.4705,2339500,1.5415577649646224,0.013504370432318336,1.528053394532304,93.26174499999999,96.09155680751205,90.43193319248793,0.0,0.0,93.79758063393024,0.7856788146127095,0.8425299683395132,0.8058693895130179
1141,1997-08-05,95.0938,95.6875,94.9063,95.25,60.5102,1467038,1.515739515417735,-0.009851103291655283,1.5255906187093904,93.42034,96.3216593312069,90.51902066879309,0.0,0.0,93.85622227655087,0.8343323399646974,0.8166433379885838,0.7791019783762513
1142,1997-08-06,95.4375,96.5313,95.0625,96.0313,61.0065,2478200,1.5405640832608611,0.011978771641176555,1.5285853116196846,93.66878,96.57090071741257,90.76665928258743,0.0,0.0,93.98258658456594,1.0,0.8194361398050239,0.873337051525802
1143,1997-08-07,96.5,96.625,95.125,95.3125,60.5499,3641900,1.4851170742118995,-0.03477458992622795,1.5198916641381275,93.860965,96.66220491281281,91.05972508718718,0.0,0.0,94.29176261397532,0.5907947316716124,0.8202715734824967,0.8083756905454362
1144,1997-08-08,94.3125,94.75,92.4063,93.375,59.3191,7167600,1.270192869695336,-0.19975903555423336,1.4699519052495693,93.94065,96.58711506609018,91.29418493390983,0.0,0.0,94.41394375877677,0.0,0.737325884209481,0.5302649105572038
1145,1997-08-11,93.75,94.2813,92.625,94.0625,59.7558,6355900,1.1421731325989413,-0.2622230181205025,1.4043961507194438,94.04065,96.54290045629645,91.53839954370355,0.0,0.0,94.4321986698468,0.18277198189257746,0.5321653907635678,0.257855571188063
1146,1997-08-12,94.2188,94.5469,92.4688,92.5625,58.8029,6160800,0.9091984310835528,-0.3961581757087129,1.3053566067922657,94.04221,96.54073068465237,91.54368931534762,0.0,0.0,94.32628976290263,0.0,0.2830148252364866,0.06092399396419219
1147,1997-08-13,93.6875,93.8438,91.4688,92.2813,58.6242,6982300,0.6938752497699738,-0.4891850856178337,1.1830603353878075,93.96877500000001,96.58107633857787,91.35647366142214,0.0,0.0,94.15789475155944,0.0,0.12656785303881601,0.06092399396419219
1148,1997-08-14,93.0938,93.3125,91.7188,92.625,58.8426,3462700,0.5446850051536813,-0.5107002641873011,1.0553852693409824,93.93596,96.59799547339918,91.27392452660081,0.0,0.0,94.06473297221699,0.07866966788678435,0.04935707018577096,0.02622322262892782
1149,1997-08-15,92.125,92.125,89.625,89.7813,57.036,4907100,0.19474296159215498,-0.688513846199062,0.883256807791217,93.86018,96.88057315891749,90.83978684108251,0.0,1.0,93.78476895367079,0.0,0.037790146407349505,0.02622322262892782
1150,1997-08-18,90.375,91.7813,89.3438,91.7813,58.3066,5638900,0.07789671137622634,-0.6442880771319925,0.7221847885082189,93.88362000000001,96.83095622690652,90.93628377309349,0.0,0.0,93.52764736293726,0.288828975267658,0.058315330992001146,0.12249954771814715
1151,1997-08-19,92.2188,92.9063,91.5313,92.8438,58.9816,3802800,0.07022062688939457,-0.5215713292950594,0.591791956184454,93.83909,96.82080946293334,90.85737053706666,0.0,0.0,93.3387652882726,0.417324484861084,0.12803575235221867,0.23538448670958037
1152,1997-08-20,92.9375,94.3125,92.6094,94.25,59.8749,3558200,0.17558186409327448,-0.3329680736729437,0.5085499377662182,93.868775,96.85444295332896,90.88310704667104,0.0,0.0,93.29014079717565,0.5682382874667776,0.2608937612087448,0.4247972491985062
1153,1997-08-21,94.125,94.25,92.0938,92.5938,58.8228,5392600,0.12401039051690077,-0.3076316377994539,0.4316420283163547,93.79377500000001,96.82802913034827,90.75952086965175,0.0,0.0,93.09244024136926,0.37881803244249124,0.37165844583273483,0.4547936015901173
1154,1997-08-22,91.0,92.7344,90.5625,92.5625,58.8029,7172900,0.07969529993121682,-0.28155738270811026,0.3612526826393271,93.720335,96.79881650768124,90.64185349231877,0.0,0.0,92.90553905915746,0.375417952978895,0.44013853613933723,0.4408247576293876
1155,1997-08-25,92.7813,93.4063,91.8438,92.2188,58.5845,3888000,0.016649627250913568,-0.27568244431073086,0.2923320715616444,93.632835,96.77687664939576,90.48879335060424,0.0,0.0,92.83327831187033,0.3363916063320071,0.4197202966013232,0.3635425305844642
1156,1997-08-26,92.0,92.5625,90.7031,90.8594,57.721,4290000,-0.1413770351310859,-0.34696728535418425,0.20559025022309835,93.46173999999999,96.81169386022479,90.11178613977519,0.0,0.0,92.64280927769806,0.23247760499792694,0.3730432254389317,0.3147623881029427
1157,1997-08-27,91.0,91.9688,90.4063,91.4063,58.0684,5484300,-0.21994861352006012,-0.3404310909945268,0.12048247747446666,93.26174,96.6010355642822,89.92244443571781,0.0,0.0,92.39141404469544,0.4640407507579641,0.3408694131277911,0.34430332069596575
1158,1997-08-28,91.1875,91.9375,90.0,90.0156,57.1849,4287900,-0.3899400368901098,-0.40833801149166116,0.018397974601551362,92.99689500000001,96.48066953833259,89.51312046166743,0.0,0.0,92.17451425839072,0.2181914804034668,0.3213229958395649,0.3049032787197856
1159,1997-08-29,90.125,91.1094,89.7188,90.375,57.4132,2652300,-0.49001035392485903,-0.40672666282112835,-0.08328369110373071,92.76877,96.31139587587711,89.2261441241229,0.0,0.0,91.96586446141298,0.3058638270248906,0.3261906507148418,0.3293653527287735
1160,1997-09-02,90.6875,93.3594,90.5938,93.3125,59.2794,7294000,-0.32849837605837706,-0.19617174796371706,-0.13232662809466,92.67502,96.05201857068877,89.29802142931123,0.0,0.0,91.90436286976488,0.9055738376983832,0.37027055994137986,0.4765430483755799
1161,1997-09-03,93.2969,94.0,92.75,92.8125,58.9617,2812500,-0.23810012130761038,-0.08461879457036031,-0.15348132673725007,92.553145,95.71895943453873,89.38733056546127,0.0,0.0,91.89247255407291,0.8071918265279578,0.4929282993960325,0.6728764970837435
1162,1997-09-04,93.0625,93.7188,92.75,93.4063,59.3389,2473700,-0.1171932251774308,0.0290304812478554,-0.1462237064252862,92.42189499999999,95.19309276160662,89.65069723839336,0.0,0.0,91.91096557547539,0.9152332937327997,0.6751397327041236,0.8759996526530466
1163,1997-09-05,93.9688,94.4375,92.5938,93.1406,59.1702,3663300,-0.042325506270017854,0.0831185601242147,-0.12544406639423256,92.3133,94.77593140969846,89.85066859030154,0.0,0.0,92.10793309523581,0.8186437233091137,0.798633032531138,0.8470229478566235
1164,1997-09-08,93.7188,94.0,93.3125,93.5469,59.4283,803500,0.049225276421211106,0.13973547425235494,-0.09051019783114383,92.321895,94.80043698631644,89.84335301368355,0.0,0.0,92.24059675142419,0.920443925569608,0.8692654160156148,0.8847736475371736
1165,1997-09-09,93.2188,94.2813,92.9063,93.5938,59.458,1885200,0.12413343634828777,0.17171490734354528,-0.047581470995257516,92.29846,94.71891055591587,89.87800944408414,0.0,0.0,92.27368605062307,0.9326374197236574,0.8741238727537525,0.8905750228674595
1166,1997-09-10,93.125,93.5,91.6563,91.6563,58.2272,3623700,0.026849135022231962,0.059544484813991584,-0.03269534979175962,92.25315,94.68602882518496,89.82027117481505,0.0,0.0,92.18089633041956,0.4114216981897421,0.8433943394107676,0.754834347827669
1167,1997-09-11,91.7813,91.9063,90.25,91.1875,57.9294,7055900,-0.08707388322493159,-0.043502826746537576,-0.043571056478394016,92.19846,94.67513092962172,89.72178907037828,0.0,0.0,91.97477697546957,0.28633490513433585,0.7296246816814579,0.5434646743492447
1168,1997-09-12,92.0,92.9688,90.9375,92.6563,58.8625,6708000,-0.05816828346731029,-0.011677781591133016,-0.04649050187617727,92.200025,94.67781137407128,89.72223862592871,0.0,0.0,92.00257657824788,0.735736936524941,0.5920434007088623,0.47783117994967267
1169,1997-09-15,92.6563,93.3125,92.1875,92.5,58.7632,2060500,-0.0473269356974555,-0.000669147057022576,-0.04665778864043292,92.33596,94.5525932339008,90.1193267660992,0.0,0.0,91.99304175760084,0.6892530902830664,0.530579166093233,0.5704416439807808
