,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
,date,open,high,low,close,adjusted_close,volume,macd,macd_diff,macd_signal,bb_mavg,bb_hband,bb_lband,bb_hband_ind,bb_lband_ind,vwap,stoch_rsi,stochrsi_d,stochrsi_k
1076,1997-05-02,80.2813,81.6719,80.0625,81.4375,51.5348,1448300,0.6972759665082293,0.6412727306938103,0.056003235814419045,77.068765,80.92678163774384,73.21074836225615,1.0,0.0,77.67904887229986,1.0,0.9818223809203999,0.9929051990909353
1077,1997-05-05,81.6563,83.5625,81.2969,83.375,52.7609,3636200,1.031876956829933,0.7806989768124113,0.25117798001752184,77.430485,82.13605073273703,72.72491926726298,1.0,0.0,78.43540741402282,1.0,0.9929051990909353,0.9929051990909353
1078,1997-05-06,82.9688,83.4688,82.5,83.3125,52.7213,1721100,1.2772836933289256,0.820884570649123,0.4563991226798026,77.761735,83.10145946527997,72.42201053472003,1.0,0.0,78.84222485621666,0.9851844582095023,0.9936239614172351,0.9950614860698338
1079,1997-05-07,83.0,83.0,81.4063,81.5,51.5744,2327200,1.3104110943656906,0.6832095773487104,0.6272015170169802,78.03361,83.55035164952554,72.51686835047445,0.0,0.0,79.1597955496938,0.5892519194371917,0.9487040481254447,0.8581454592155643
1080,1997-05-08,81.3125,83.2188,81.1875,82.0625,51.9303,2923700,1.3663039459544422,0.5912819431499696,0.7750220028044725,78.34767,84.0284898838205,72.66685011617949,0.0,0.0,79.53668312166226,0.6580718907912783,0.8657921226993519,0.7441694228126571
1081,1997-05-09,82.9688,83.125,81.6563,82.625,52.2863,2558200,1.4393960211769183,0.5314992146979567,0.9078968064789616,78.81017,84.29922370281719,73.32111629718281,0.0,0.0,80.02937580965167,0.7070261905505014,0.7512549607626262,0.6514500002596568
1082,1997-05-12,82.9375,84.25,82.875,84.0,53.1564,2357900,1.5899451283035972,0.5456386574597085,1.0443064708438887,79.2922,84.82621258003738,73.75818741996261,0.0,0.0,80.56084752764426,0.8686915555822389,0.7134053229045513,0.7445965456413393
1083,1997-05-13,83.9375,84.0938,83.0156,83.6563,52.9389,1195100,1.6623600113424146,0.4944428323988208,1.1679171789435938,79.693765,85.2704737097241,74.1170562902759,0.0,0.0,80.85076079715307,0.7867172137025773,0.7278416219487007,0.7874783199451055
1084,1997-05-14,84.2344,84.5,83.4375,83.8125,53.0377,2772000,1.7126114437934348,0.43575541187987277,1.276856031913562,80.05939,85.70896716078056,74.40981283921943,0.0,0.0,81.38039916199787,0.8060499884307951,0.7841870393861051,0.82048625257187
1085,1997-05-15,83.8125,84.5938,83.5156,84.375,53.3937,884100,1.7773370795451484,0.40038483810526904,1.3769522414398794,80.46876499999999,86.12331732826738,74.8142126717326,0.0,0.0,81.68919895009944,0.8536976669157158,0.807817620733335,0.815488289683029
1086,1997-05-16,84.125,84.3125,83.0,83.2188,52.662,1934200,1.715561015481157,0.27088701923302194,1.444673996248135,80.80157999999999,86.27804382133714,75.32511617866284,0.0,0.0,82.03026275180564,0.06043273782869249,0.7364560022155446,0.5733934643917341
1087,1997-05-19,83.3125,83.9063,83.0625,83.4688,52.8202,1375800,1.6675534323486403,0.17830354888040412,1.4892498834682362,81.17189499999999,86.30747284927025,76.03631715072973,0.0,0.0,82.38364036393685,0.13803406039242866,0.5798677474845698,0.35072148837894535
1088,1997-05-20,83.2813,84.6875,82.75,84.4688,53.453,1756400,1.6907092753946813,0.16116751354115588,1.5295417618535254,81.508615,86.58121596529543,76.43601403470458,0.0,0.0,82.75630659212504,0.4604044813613033,0.3812462375438293,0.21962375986080782
1089,1997-05-21,84.6875,84.9844,83.6563,84.2813,53.3344,1208000,1.674626710540224,0.11606795894935873,1.5585587515908652,81.832055,86.74307628094722,76.92103371905277,0.0,0.0,83.03782777935952,0.3473658479794195,0.29520445938360135,0.31526812991105013
1090,1997-05-22,84.375,84.4688,83.5625,84.0,53.1564,907600,1.6205024593233048,0.049554966185951566,1.5709474931373533,82.16096,86.7145870933858,77.6073329066142,0.0,0.0,83.17394807995404,0.17294788538522318,0.28726598711572454,0.326906071575315
1091,1997-05-23,84.375,85.2188,84.1563,84.7813,53.6508,644400,1.6219560806282942,0.040806869992752626,1.5811492106355416,82.57346,86.45798271271748,78.68893728728251,0.0,0.0,83.27799440575002,0.4643935056733008,0.3234699826107822,0.3282357463459808
1092,1997-05-27,84.375,85.5313,84.2656,85.125,53.8683,1531000,1.632028791558099,0.040703664738045875,1.5913251268200532,82.96564500000001,86.1554663413793,79.77582365862072,0.0,0.0,83.39752409499663,0.7849724878298386,0.37641548140580566,0.47410462629612055
1093,1997-05-28,85.125,85.4531,84.5156,85.1094,53.8584,716700,1.6200774534938915,0.023001861339070562,1.597075592154821,83.235175,86.18392238075666,80.28642761924334,0.0,0.0,83.59485056658364,0.7507598851033035,0.4896829996147498,0.6667086262021473
1094,1997-05-29,85.0938,85.25,84.5,84.6094,53.542,1282700,1.5523654085319691,-0.03576814689828156,1.5881335554302507,83.460955,86.08683698019631,80.83507301980369,0.0,0.0,83.86631650926351,0.206165620404807,0.5738153056480838,0.5806326644459827
1095,1997-05-30,83.2188,85.5625,83.125,85.1563,53.8881,2143300,1.5252512375956258,-0.05030585426770018,1.575557091863326,83.71877,85.91161721501983,81.52592278498018,0.0,0.0,84.11639898531409,0.5369276441966044,0.5817641135165673,0.49795104990157135
1096,1997-06-02,85.3438,85.5,84.7188,84.7813,53.6508,1479100,1.4567116308780328,-0.09507636878823456,1.5517879996662673,83.88596,85.85616921772804,81.91575078227196,0.0,0.0,84.23082741665993,0.12110281421857835,0.45554969131807255,0.28806535960666296
1097,1997-06-03,84.4063,85.4375,84.3438,84.5,53.4728,1562100,1.363971920419786,-0.15025286339718535,1.5142247838169713,83.94221,85.91509142360879,81.96932857639122,0.0,0.0,84.30979120530364,0.0,0.335119965215543,0.21934348613839394
1098,1997-06-04,84.5313,84.75,84.0781,84.4063,53.4135,1063100,1.268294119685578,-0.19674453130511482,1.4650386509906927,83.99690000000001,85.95752900519726,82.03627099480276,0.0,0.0,84.37457917642497,0.0,0.18259215016152777,0.04036760473952578
1099,1997-06-05,84.5938,85.3125,84.4219,84.7188,53.6112,1180800,1.203808160481458,-0.20898439240738798,1.4127925528888459,84.15784,85.76960467315207,82.54607532684791,0.0,0.0,84.41246480970834,0.22881004938493374,0.11199370244652156,0.07627001646164425
1100,1997-06-06,84.5938,86.4375,84.5938,86.375,54.6593,1511100,1.2716848800738774,-0.11288613825197502,1.3845710183258524,84.373465,85.95993231738207,82.78699768261792,1.0,0.0,84.62184102580859,1.0,0.1754136569987161,0.4096033497949776
1101,1997-06-09,86.4375,86.875,86.3438,86.8125,54.9362,1823400,1.345272795651141,-0.03143857813976925,1.3767113737909102,84.58284,86.29160544956348,82.87407455043653,1.0,0.0,84.9046528057332,1.0,0.4096033497949778,0.742936683128311
1102,1997-06-10,86.8438,87.4063,86.5,87.0781,55.1043,1217500,1.4087838657398777,0.025657993559173864,1.3831258721807038,84.73674500000001,86.73735899723239,82.73613100276764,1.0,0.0,85.13390082025235,1.0,0.717513344307763,1.0
1103,1997-06-11,87.0,87.4063,86.8281,87.2813,55.2328,1673800,1.4586984207582248,0.06045803886201684,1.398240381896208,84.91799499999999,87.13892495520399,82.69706504479599,1.0,0.0,85.36925283455909,1.0,0.9143122277094372,1.0
1104,1997-06-12,87.875,89.0,87.5625,88.9688,56.3007,4273300,1.6157973066471527,0.17404553980075566,1.441751766846397,85.17581,87.95142451927728,82.40019548072272,1.0,0.0,86.03237256439375,1.0,1.0,1.0
1105,1997-06-13,89.0625,90.0,88.9063,89.7188,56.7753,2132900,1.780295894661009,0.2708353022516894,1.5094605924093196,85.443,88.82204813106048,82.06395186893951,1.0,0.0,86.38554035217118,1.0,1.0,1.0
1106,1997-06-16,89.75,90.0,89.4688,89.75,56.7951,800400,1.8913771713708911,0.3055332631692571,1.585843908201634,85.76956,89.47253680381932,82.06658319618067,1.0,0.0,86.59751175463614,1.0,1.0,1.0
1107,1997-06-17,89.4375,90.2344,88.9375,89.625,56.716,2048100,1.9468809959000453,0.28882967015872896,1.6580513257413163,86.07737,89.98214059869393,82.17259940130607,0.0,0.0,86.89817638160903,0.9361114308342636,0.9929012700926961,0.9787038102780876
1108,1997-06-18,89.125,89.625,88.9688,89.3125,56.5182,1971900,1.943251445364183,0.2281600956982932,1.7150913496658897,86.319555,90.39243271310715,82.24667728689283,0.0,0.0,87.19756334000513,0.7737207647907494,0.9606604029399196,0.9032773985416708
1109,1997-06-19,89.6094,90.5,89.375,90.2344,57.1016,2029900,1.9918043451396272,0.22137039637898992,1.7704339487606373,86.61721,90.91467954097705,82.31974045902295,0.0,0.0,87.65375798253618,0.9201572333063719,0.919548117265629,0.876663142977128
1110,1997-06-20,89.9375,90.3438,89.5,89.5781,56.907,1396900,1.9547913253609863,0.14748590128027916,1.8073054240807072,86.896115,91.20198410403997,82.59024589596002,0.0,0.0,87.93463101467007,0.5995656582755841,0.8481405867699002,0.7644812187909015
1111,1997-06-23,89.4063,89.9063,87.3438,87.4063,55.5273,3991500,1.7302666936214735,-0.06163098436738723,1.7918976779888607,87.027365,91.22607572367771,82.8286542763223,0.0,0.0,88.15933190286167,0.0,0.715906219654005,0.506574297193985
1112,1997-06-24,88.25,89.875,88.0,89.625,56.9368,4895100,1.7116292562914026,-0.06421473735796646,1.775843993649369,87.252365,91.50117833328808,83.00355166671191,0.0,0.0,88.4474204145205,0.3680472715924687,0.5311977197580792,0.3225376432893506
1113,1997-06-25,89.4844,90.25,87.9375,89.0,56.5397,4708900,1.6276639791092435,-0.1185440116321006,1.7462079907413441,87.44689500000001,91.64134763150354,83.25244236849649,0.0,0.0,88.65575530258421,0.21565551981804107,0.3412265125400575,0.19456759713683627
1114,1997-06-26,88.8438,89.625,87.6875,88.5625,56.2618,2569900,1.5084300556291055,-0.19022234808979088,1.6986524037188964,87.64455000000001,91.65401408015177,83.63508591984825,0.0,0.0,88.77488571404447,0.11169556181261447,0.24963489716685397,0.23179945107437447
1115,1997-06-27,88.9688,89.7188,88.6875,88.9063,56.4802,2617900,1.425248718935208,-0.2187229478269508,1.643971666762159,87.83205000000001,91.70700834945713,83.95709165054289,0.0,0.0,88.90391055274169,0.170267782229853,0.1974133342771269,0.16587295462016924
1116,1997-06-30,88.9063,89.4688,87.875,88.3125,56.103,2384900,1.296467344386599,-0.278003457900448,1.574470802287047,88.00861,91.62459669848602,84.39262330151399,0.0,0.0,88.94352365490167,0.02400740402212791,0.16655421834980308,0.10199024935486482
1117,1997-07-01,88.5,89.5625,88.3906,89.3438,56.7581,1749000,1.263064645302805,-0.24912492558739374,1.5121895708901987,88.2508,91.52726356000308,84.97433643999692,0.0,0.0,89.02968713116107,0.20557508249469666,0.13371554229686455,0.13328342291555892
1118,1997-07-02,89.5625,90.8125,89.2188,90.8125,57.6912,1961800,1.3396617939374238,-0.13802222156222,1.4776840154996438,88.57111,91.51750522189889,85.62471477810112,0.0,0.0,89.16225648168368,0.42357774906333906,0.15099791693238176,0.2177200785267209
1119,1997-07-03,91.875,92.1563,91.4688,92.0625,58.4853,2539100,1.4841221036205354,0.005150470496713355,1.478971633123822,88.93829500000001,91.69725274993549,86.17933725006453,1.0,0.0,89.33417693491057,0.5784698600776249,0.2511814662180557,0.40254089721188663
1120,1997-07-07,92.375,92.5,90.9063,91.125,57.8897,1158600,1.5056038607383897,0.021305782091654013,1.4842980786467357,89.17579500000001,91.82691973601855,86.52467026398146,0.0,0.0,89.39516240389375,0.365379760149711,0.35869003294516655,0.4558091230968914
1121,1997-07-08,91.25,92.1875,91.1875,92.0781,58.4952,3396500,1.5813071877026488,0.07760728724473043,1.5036999004579183,89.439075,92.1444103107387,86.7337396892613,0.0,0.0,89.60416268042745,0.5012094270385046,0.44667878979913067,0.48168634908861324
1122,1997-07-09,92.3125,92.375,90.0313,91.0625,57.85,5390300,1.5415817921595192,0.0303055133612804,1.5112762787982388,89.638295,92.20195368748746,87.07463631251254,0.0,0.0,89.82387039320624,0.24821666128573305,0.4363658072256071,0.3716019494913159
1123,1997-07-10,91.125,91.8438,90.4844,91.4688,58.1081,2072200,1.5253014191025471,0.011220112243446545,1.5140813068591006,89.84767000000001,92.28817382676002,87.40716617324,0.0,0.0,89.88647089041598,0.4313182116636849,0.41562324396974565,0.39358143332930723
1124,1997-07-11,91.5938,92.187,91.375,91.7813,58.3066,2260400,1.5200925636407874,0.004809005425349344,1.515283558215438,89.988295,92.53196554980207,87.44462445019792,0.0,0.0,89.99183358515545,0.5770281789592253,0.39467924448561265,0.4188543506362141
1125,1997-07-14,91.8906,92.3125,91.2188,92.0625,58.4853,3186400,1.5211204681805413,0.004669527972082532,1.5164509402084587,90.10548,92.80015443941389,87.41080556058611,0.0,0.0,90.31083890318163,0.6323294485121584,0.45310924344795933,0.5468919463783559
1126,1997-07-15,92.3125,92.7656,91.4688,92.5313,58.7831,2983100,1.5419882513022145,0.02042984887500454,1.52155840242721,90.244545,93.13168222672317,87.35740777327683,0.0,0.0,90.60333385019284,0.7550939952663088,0.5401878348646004,0.6548172075792306
